Pays,PIB
Costa Rica,6901.388306
Iceland,68941.46223
Gabon,6891.36192
Gabon,6881.715192
Burkina Faso,688.2506963
Uruguay,6875.025469
Pakistan,687.8364127
Cameroon,687.6481344
Suriname,6853.693411
Bulgaria,6853.002854
Kenya,685.9544229
Dominica,6849.455933
Belarus,6837.717826
Cuba,6837.71168
Iraq,6836.073995
Suriname,6831.983622
Australia,68156.62792
Senegal,681.3118508
Cameroon,681.102043
Serbia,6809.159804
Australia,68027.84171
Costa Rica,6801.036735
Comoros,680.9055728
Brazil,6796.844542
South Africa,6780.884555
Sao Tome and Principe,678.7379639
Kazakhstan,6771.414797
Mauritania,676.5690224
Tajikistan,676.1235111
Peru,6756.752996
Serbia,6755.073675
Liberia,675.0101918
Qatar,67403.08768
Guinea,674.0854826
Norway,67329.67779
Mozambique,673.969212
Colombia,6729.583332
Montenegro,6727.107767
Guinea,672.4249304
Liberia,672.3404992
Peru,6710.507602
Lithuania,6700.327192
South Africa,6690.939847
Montenegro,6688.4824
Norway,66810.47852
Poland,6681.386472
Rwanda,668.4946722
Turkmenistan,6675.178055
Peru,6672.877373
Haiti,667.2825464
Singapore,66679.04649
Grenada,6658.223586
Hungary,6655.333009
Chad,665.9488849
Grenada,6645.985549
Mozambique,664.0775104
Iraq,6637.684375
Maldives,6636.543871
South Africa,6624.761865
Maldives,6614.23618
Bermuda,66111.72523
Guinea-Bissau,661.4578387
Guyana,6609.51128
Dominican Republic,6608.825501
Serbia,6600.056809
Thailand,6593.818352
Qatar,65907.94844
Guinea,659.992931
Chad,659.270045
Turkmenistan,6587.092604
Montenegro,6586.721279
Chad,658.566973
Ukraine,658.348608
Mauritius,6574.654338
Mozambique,657.6446765
Singapore,65640.70795
Nauru,6560.27487
Luxembourg,65544.59195
Azerbaijan,655.1199452
Qatar,65421.37692
Uzbekistan,654.2838373
Switzerland,65359.51922
South Africa,6532.736968
Burkina Faso,653.3272681
Peru,6528.971775
United States,65279.52903
Belarus,6527.173869
Montenegro,6514.272695
Guinea,651.1361134
Cuba,6497.314764
Senegal,648.4414733
Burkina Faso,647.8360955
Comoros,647.4258118
Dominica,6468.944767
Libya,6466.908237
Mongolia,646.192471
Mauritania,646.1151155
Trinidad and Tobago,6435.134212
Botswana,6434.812485
Denmark,64322.0635
Turkmenistan,6432.685325
Burkina Faso,643.404581
Turkmenistan,643.1909754
Colombia,6424.979492
Belarus,6424.152176
Eritrea,642.5082588
Botswana,6404.899932
Botswana,6402.910183
Togo,640.9342196
Ethiopia,640.5419231
Mauritania,639.6675829
Turkmenistan,6387.682575
Afghanistan,638.8458516
Latvia,6378.666521
Belarus,6377.369732
Ecuador,6377.093929
Colombia,6376.706716
Belarus,6360.062473
Malawi,636.8205368
United States,63593.44362
South Africa,6350.65271
Bangladesh,634.9870697
Guinea-Bissau,634.6620391
Colombia,6336.709474
Liberia,632.9363856
Fiji,6317.41372
Cambodia,631.5252576
United States,63064.41841
Qatar,63039.11263
China,6300.615118
Ecuador,6295.934662
Suriname,6295.560562
Croatia,6293.225299
Serbia,6292.543629
Uruguay,6284.45968
Ireland,62818.96636
India,627.7742417
South Africa,6266.533987
Libya,6266.489821
South Africa,6259.839681
Bermuda,62583.1002
Australia,62574.1457
Denmark,62548.98473
Australia,62511.69059
Afghanistan,624.3154545
Burkina Faso,624.1751645
Dominican Republic,6238.132367
Guinea-Bissau,623.3130914
Peru,6229.100674
Qatar,62276.42869
Ecuador,6222.524653
Armenia,622.7409229
Ecuador,6213.503127
Togo,621.3988536
Malaysia,6209.126167
Peru,6204.996457
Iceland,61987.92636
Ireland,61987.551
Chile,6194.85272
Papua New Guinea,618.0367032
Denmark,61753.64713
Fiji,6175.890653
Colombia,6175.87603
Serbia,6169.114195
Thailand,6168.261356
Panama,6166.187871
Guinea-Bissau,616.375664
Denmark,61591.92887
Equatorial Guinea,6152.131238
Guyana,6145.819277
Afghanistan,614.2233424
Cuba,6139.718783
Ireland,61318.46603
Senegal,613.7323845
Peru,6126.87454
Guyana,6124.95367
Ecuador,6124.490887
Denmark,61191.1937
Bosnia and Herzegovina,6119.762345
Paraguay,6118.31811
Singapore,61176.45636
Sweden,61126.9432
Lebanon,6111.327281
Ireland,61103.51347
Dominican Republic,6110.366576
North Macedonia,6108.740108
Denmark,61063.31643
Costa Rica,6103.741917
Turkey,6101.632117
Fiji,6101.02389
Sudan,610.9278615
Rwanda,609.724917
Bosnia and Herzegovina,6079.738285
Sweden,60755.75955
North Macedonia,6070.388054
Bosnia and Herzegovina,6070.349081
Ecuador,6060.092962
Ecuador,6056.331213
Iraq,6045.494567
Belarus,6033.686239
South Africa,6033.101491
Guinea-Bissau,603.3993815
Papua New Guinea,602.1864903
Serbia,6015.945228
United States,60109.65573
Sweden,60020.36046
Thailand,5993.305516
Guinea-Bissau,599.9952372
Pakistan,599.3763305
Iraq,5980.626918
Singapore,59797.75218
Denmark,59775.7351
Montenegro,5976.394145
Mali,597.4844576
Belarus,5967.052204
Liberia,596.8966353
Qatar,59530.561
Thailand,5951.883487
Dominica,5951.863413
Eritrea,595.1099872
Namibia,5942.29274
Mozambique,594.5861471
Paraguay,5936.975959
Switzerland,59300.61722
Iceland,59270.18005
Nepal,592.4012071
Argentina,5919.012338
North Macedonia,5917.262575
Iraq,5915.850854
Dominican Republic,5913.426649
Qatar,59124.86727
Malawi,591.8463896
Afghanistan,591.1900302
Qatar,59094.65918
Nigeria,590.381815
Mozambique,589.85905
Bermuda,58883.95943
Uruguay,5887.845162
Brazil,5886.391522
Bulgaria,5885.104348
Sierra Leone,588.2288628
Suriname,5872.789429
Colombia,5870.777957
Togo,587.0974928
Peru,5869.323882
Thailand,5860.581471
Sudan,586.7532114
Myanmar,586.1681802
Denmark,58507.50805
Denmark,58487.05497
Serbia,5848.476405
Azerbaijan,5843.533768
Thailand,5840.053067
Botswana,5832.737052
Denmark,58163.27688
Guyana,5811.397924
Namibia,5806.748246
Denmark,58041.39844
Sweden,58037.82132
United States,58021.4005
Libya,5800.588826
Rwanda,579.726615
Belarus,5785.670673
Paraguay,5782.78455
Sao Tome and Principe,577.628404
Serbia,5765.200762
Netherlands,57644.47997
Denmark,57610.09818
Norway,57603.83602
Pakistan,576.1955804
Romania,5757.496429
Singapore,57562.53079
South Africa,5756.965741
Libya,5756.699325
Iceland,57492.93425
Suriname,5744.759727
Grenada,5741.653658
Benin,574.9297982
Gabon,5739.613204
Serbia,5735.422857
Cuba,5730.354264
Lesotho,573.6517781
Australia,57180.7794
Qatar,57162.96801
Botswana,5713.543931
Togo,571.8067239
Mongolia,571.594979
Poland,5701.602212
Togo,570.9099672
Niger,570.723922
Singapore,56967.42579
Mauritius,5695.969327
Iceland,56943.37045
United States,56863.3715
Singapore,56848.17539
Grenada,5682.705378
Ecuador,5682.046108
Zimbabwe,568.3862905
Papua New Guinea,568.2463486
Iceland,56794.85016
Paraguay,5678.869972
Australia,56707.02208
Nigeria,567.9307221
Niger,567.6698923
Ethiopia,566.9264029
Sierra Leone,566.3782351
South Africa,5655.867654
Switzerland,56546.78566
Fiji,5651.272721
Central African Republic,565.8012071
Turkmenistan,5649.962106
Niger,564.5967488
Mozambique,563.6496343
Zimbabwe,563.0575041
Bermuda,56284.16865
Sweden,56152.55234
China,5614.352135
Fiji,5605.609148
Ecuador,5600.389615
Algeria,5592.220115
Guinea-Bissau,559.4145709
Serbia,5588.980728
Namibia,5588.392864
Malaysia,5587.02478
Uzbekistan,558.2268024
Guinea-Bissau,558.1746681
Bangladesh,558.0518407
